time,node,state,network_mean_state,network_state_sd,network_entropy
0,N01,1.0,0.1,0.270801,0.485094
0,N02,0.0,0.1,0.270801,0.485094
0,N03,0.0,0.1,0.270801,0.485094
0,N04,0.0,0.1,0.270801,0.485094
0,N05,0.0,0.1,0.270801,0.485094
0,N06,0.0,0.1,0.270801,0.485094
0,N07,0.0,0.1,0.270801,0.485094
0,N08,0.5,0.1,0.270801,0.485094
0,N09,0.0,0.1,0.270801,0.485094
0,N10,0.0,0.1,0.270801,0.485094
0,N11,0.0,0.1,0.270801,0.485094
0,N12,0.0,0.1,0.270801,0.485094
0,N13,0.0,0.1,0.270801,0.485094
0,N14,0.0,0.1,0.270801,0.485094
0,N15,0.0,0.1,0.270801,0.485094
1,N01,0.814957,0.097087,0.216585,1.020037
1,N02,0.053948,0.097087,0.216585,1.020037
1,N03,0.086104,0.097087,0.216585,1.020037
1,N04,0.024569,0.097087,0.216585,1.020037
1,N05,-0.004466,0.097087,0.216585,1.020037
1,N06,-0.052407,0.097087,0.216585,1.020037
1,N07,0.056631,0.097087,0.216585,1.020037
1,N08,0.400643,0.097087,0.216585,1.020037
1,N09,0.022406,0.097087,0.216585,1.020037
1,N10,0.004056,0.097087,0.216585,1.020037
1,N11,0.00813,0.097087,0.216585,1.020037
1,N12,0.040725,0.097087,0.216585,1.020037
1,N13,0.022982,0.097087,0.216585,1.020037
1,N14,0.003868,0.097087,0.216585,1.020037
1,N15,-0.025841,0.097087,0.216585,1.020037
2,N01,0.645356,0.096318,0.17259,1.43028
2,N02,0.105675,0.096318,0.17259,1.43028
2,N03,0.190903,0.096318,0.17259,1.43028
2,N04,0.02974,0.096318,0.17259,1.43028
2,N05,-0.008566,0.096318,0.17259,1.43028
2,N06,-0.021,0.096318,0.17259,1.43028
2,N07,0.026905,0.096318,0.17259,1.43028
2,N08,0.327506,0.096318,0.17259,1.43028
2,N09,0.058267,0.096318,0.17259,1.43028
2,N10,0.036643,0.096318,0.17259,1.43028
2,N11,0.000664,0.096318,0.17259,1.43028
2,N12,0.051679,0.096318,0.17259,1.43028
2,N13,0.031546,0.096318,0.17259,1.43028
2,N14,0.027237,0.096318,0.17259,1.43028
2,N15,-0.057788,0.096318,0.17259,1.43028
3,N01,0.575773,0.086534,0.14648,1.362447
3,N02,0.077252,0.086534,0.14648,1.362447
3,N03,0.124999,0.086534,0.14648,1.362447
3,N04,0.020426,0.086534,0.14648,1.362447
3,N05,-0.038513,0.086534,0.14648,1.362447
3,N06,0.016175,0.086534,0.14648,1.362447
3,N07,0.072897,0.086534,0.14648,1.362447
3,N08,0.242452,0.086534,0.14648,1.362447
3,N09,0.095819,0.086534,0.14648,1.362447
3,N10,0.000274,0.086534,0.14648,1.362447
3,N11,0.002311,0.086534,0.14648,1.362447
3,N12,0.040363,0.086534,0.14648,1.362447
3,N13,0.036975,0.086534,0.14648,1.362447
3,N14,0.048152,0.086534,0.14648,1.362447
3,N15,-0.017346,0.086534,0.14648,1.362447
4,N01,0.502582,0.094455,0.13358,1.679204
4,N02,0.124288,0.094455,0.13358,1.679204
4,N03,0.169565,0.094455,0.13358,1.679204
4,N04,0.004629,0.094455,0.13358,1.679204
4,N05,-0.054354,0.094455,0.13358,1.679204
4,N06,0.001767,0.094455,0.13358,1.679204
4,N07,0.100528,0.094455,0.13358,1.679204
4,N08,0.207679,0.094455,0.13358,1.679204
4,N09,0.173845,0.094455,0.13358,1.679204
4,N10,-0.019619,0.094455,0.13358,1.679204
4,N11,-0.036438,0.094455,0.13358,1.679204
4,N12,0.066987,0.094455,0.13358,1.679204
4,N13,0.088051,0.094455,0.13358,1.679204
4,N14,0.059332,0.094455,0.13358,1.679204
4,N15,0.027987,0.094455,0.13358,1.679204
5,N01,0.488486,0.098166,0.126467,1.656551
5,N02,0.133077,0.098166,0.126467,1.656551
5,N03,0.132133,0.098166,0.126467,1.656551
5,N04,-0.000457,0.098166,0.126467,1.656551
5,N05,-0.013021,0.098166,0.126467,1.656551
5,N06,-0.04275,0.098166,0.126467,1.656551
5,N07,0.102457,0.098166,0.126467,1.656551
5,N08,0.205797,0.098166,0.126467,1.656551
5,N09,0.14447,0.098166,0.126467,1.656551
5,N10,0.021607,0.098166,0.126467,1.656551
5,N11,-0.009971,0.098166,0.126467,1.656551
5,N12,0.146732,0.098166,0.126467,1.656551
5,N13,0.105269,0.098166,0.126467,1.656551
5,N14,0.034392,0.098166,0.126467,1.656551
5,N15,0.024272,0.098166,0.126467,1.656551
