scenario,time,state,delayed_state,inflow,balancing_outflow,threshold_penalty,shock,next_state
baseline_delayed_feedback,0,12.0,12.0,0.96,0.0,0.0,0.0,12.96
baseline_delayed_feedback,1,12.96,12.0,1.0368,0.0,0.0,0.0,13.9968
baseline_delayed_feedback,2,13.9968,12.0,1.119744,0.0,0.0,0.0,15.116544
baseline_delayed_feedback,3,15.116544,12.0,1.209324,0.0,0.0,0.0,16.325868
baseline_delayed_feedback,4,16.325868,12.0,1.306069,0.0,0.0,0.0,17.631937
baseline_delayed_feedback,5,17.631937,12.0,1.410555,0.0,0.0,0.0,19.042492
baseline_delayed_feedback,6,19.042492,12.0,1.523399,0.0,0.0,0.0,20.565891
baseline_delayed_feedback,7,20.565891,12.0,1.645271,0.0,0.0,0.0,22.211163
baseline_delayed_feedback,8,22.211163,12.96,1.776893,0.0,0.0,0.0,23.988056
baseline_delayed_feedback,9,23.988056,13.9968,1.919044,0.0,0.0,0.0,25.9071
baseline_delayed_feedback,10,25.9071,15.116544,2.072568,0.0,0.0,0.0,27.979668
baseline_delayed_feedback,11,27.979668,16.325868,2.238373,0.0,0.0,0.0,30.218041
baseline_delayed_feedback,12,30.218041,17.631937,2.417443,0.0,0.0,0.0,32.635485
baseline_delayed_feedback,13,32.635485,19.042492,2.610839,0.0,0.0,0.0,35.246323
baseline_delayed_feedback,14,35.246323,20.565891,2.819706,0.0,0.0,0.0,38.066029
baseline_delayed_feedback,15,38.066029,22.211163,3.045282,0.0,0.0,0.0,41.111312
baseline_delayed_feedback,16,41.111312,23.988056,3.288905,0.0,0.0,0.0,44.400217
baseline_delayed_feedback,17,44.400217,25.9071,3.552017,0.0,0.0,0.0,47.952234
baseline_delayed_feedback,18,47.952234,27.979668,3.836179,0.0,0.0,0.0,51.788413
baseline_delayed_feedback,19,51.788413,30.218041,4.143073,0.0,0.0,0.0,55.931486
baseline_delayed_feedback,20,55.931486,32.635485,4.474519,0.0,0.0,0.0,60.406005
baseline_delayed_feedback,21,60.406005,35.246323,4.83248,0.0,0.0,0.0,65.238485
baseline_delayed_feedback,22,65.238485,38.066029,5.219079,0.0,0.0,0.0,70.457564
baseline_delayed_feedback,23,70.457564,41.111312,5.636605,0.0,0.0,0.0,76.094169
baseline_delayed_feedback,24,76.094169,44.400217,6.087534,0.0,0.0,0.0,82.181702
baseline_delayed_feedback,25,82.181702,47.952234,6.574536,0.0,0.0,0.0,88.756239
baseline_delayed_feedback,26,88.756239,51.788413,7.100499,0.107305,0.131468,0.0,95.617965
baseline_delayed_feedback,27,95.617965,55.931486,7.649437,0.355889,0.371629,0.0,102.539884
