parameter,direction,base_value,revised_value,base_final_state,revised_final_state,final_state_change,base_peak_state,revised_peak_state,peak_state_change,absolute_peak_change
growth_rate,-1,0.08,0.07,250.0,238.615871,-11.384129,250.0,238.615871,-11.384129,11.384129
growth_rate,1,0.08,0.09,250.0,250.0,0.0,250.0,250.0,0.0,0.0
balancing_strength,-1,0.06,0.049999999999999996,250.0,250.0,0.0,250.0,250.0,0.0,0.0
balancing_strength,1,0.06,0.06999999999999999,250.0,250.0,0.0,250.0,250.0,0.0,0.0
target,-1,50.0,45.0,250.0,250.0,0.0,250.0,250.0,0.0,0.0
target,1,50.0,55.0,250.0,250.0,0.0,250.0,250.0,0.0,0.0
delay,-1,7,5,250.0,250.0,0.0,250.0,250.0,0.0,0.0
delay,1,7,9,250.0,250.0,0.0,250.0,250.0,0.0,0.0
threshold,-1,85.0,80.0,250.0,250.0,0.0,250.0,250.0,0.0,0.0
threshold,1,85.0,90.0,250.0,250.0,0.0,250.0,250.0,0.0,0.0
threshold_correction,-1,0.035,0.025,250.0,250.0,0.0,250.0,250.0,0.0,0.0
threshold_correction,1,0.035,0.045000000000000005,250.0,250.0,0.0,250.0,250.0,0.0,0.0
shock_size,-1,-10.0,0.0,250.0,250.0,0.0,250.0,250.0,0.0,0.0
shock_size,1,-10.0,0.0,250.0,250.0,0.0,250.0,250.0,0.0,0.0
