time,state,delayed_state,inflow,balancing_outflow,threshold_penalty,shock,next_state
0,12.000000,12.000000,0.960000,0.000000,0.000000,0.000000,12.960000
1,12.960000,12.000000,1.036800,0.000000,0.000000,0.000000,13.996800
2,13.996800,12.000000,1.119744,0.000000,0.000000,0.000000,15.116544
3,15.116544,12.000000,1.209324,0.000000,0.000000,0.000000,16.325868
4,16.325868,12.000000,1.306069,0.000000,0.000000,0.000000,17.631937
5,17.631937,12.000000,1.410555,0.000000,0.000000,0.000000,19.042492
6,19.042492,12.000000,1.523399,0.000000,0.000000,0.000000,20.565891
7,20.565891,12.000000,1.645271,0.000000,0.000000,0.000000,22.211163
8,22.211163,12.960000,1.776893,0.000000,0.000000,0.000000,23.988056
9,23.988056,13.996800,1.919044,0.000000,0.000000,0.000000,25.907100
10,25.907100,15.116544,2.072568,0.000000,0.000000,0.000000,27.979668
11,27.979668,16.325868,2.238373,0.000000,0.000000,0.000000,30.218041
12,30.218041,17.631937,2.417443,0.000000,0.000000,0.000000,32.635485
13,32.635485,19.042492,2.610839,0.000000,0.000000,0.000000,35.246323
14,35.246323,20.565891,2.819706,0.000000,0.000000,0.000000,38.066029
15,38.066029,22.211163,3.045282,0.000000,0.000000,0.000000,41.111312
16,41.111312,23.988056,3.288905,0.000000,0.000000,0.000000,44.400217
17,44.400217,25.907100,3.552017,0.000000,0.000000,0.000000,47.952234
18,47.952234,27.979668,3.836179,0.000000,0.000000,0.000000,51.788413
19,51.788413,30.218041,4.143073,0.000000,0.000000,0.000000,55.931486
20,55.931486,32.635485,4.474519,0.000000,0.000000,0.000000,60.406005
21,60.406005,35.246323,4.832480,0.000000,0.000000,0.000000,65.238485
22,65.238485,38.066029,5.219079,0.000000,0.000000,0.000000,70.457564
23,70.457564,41.111312,5.636605,0.000000,0.000000,0.000000,76.094169
24,76.094169,44.400217,6.087534,0.000000,0.000000,0.000000,82.181702
25,82.181702,47.952234,6.574536,0.000000,0.000000,0.000000,88.756239
26,88.756239,51.788413,7.100499,0.107305,0.131468,0.000000,95.617965
27,95.617965,55.931486,7.649437,0.355889,0.371629,0.000000,102.539884
28,102.539884,60.406005,8.203191,0.624360,0.613896,0.000000,109.504818
29,109.504818,65.238485,8.760385,0.914309,0.857669,0.000000,116.493226
30,116.493226,70.457564,9.319458,1.227454,1.102263,0.000000,123.482967
31,123.482967,76.094169,9.878637,1.565650,1.346904,0.000000,130.449051
32,130.449051,82.181702,10.435924,1.930902,1.590717,0.000000,137.363356
33,137.363356,88.756239,10.989068,2.325374,1.832717,0.000000,144.194333
34,144.194333,95.617965,11.535547,2.737078,2.071802,0.000000,150.921000
35,150.921000,102.539884,12.073680,3.152393,2.307235,0.000000,157.535052
36,157.535052,109.504818,12.602804,3.570289,2.538727,0.000000,164.028840
37,164.028840,116.493226,13.122307,3.989594,2.766009,0.000000,170.395544
38,170.395544,123.482967,13.631644,4.408978,2.988844,0.000000,176.629366
39,176.629366,130.449051,14.130349,4.826943,3.207028,0.000000,182.725744
40,182.725744,137.363356,14.618060,5.241801,3.420401,0.000000,188.681601
41,188.681601,144.194333,15.094528,5.651660,3.628856,0.000000,194.495613
42,194.495613,150.921000,15.559649,6.055260,3.832346,0.000000,200.167656
43,200.167656,157.535052,16.013412,6.452103,4.030868,0.000000,205.698097
44,205.698097,164.028840,16.455848,6.841730,4.224433,0.000000,211.087781
45,211.087781,170.395544,16.887022,7.223733,4.413072,0.000000,216.337999
46,216.337999,176.629366,17.307040,7.597762,4.596830,0.000000,221.450447
47,221.450447,182.725744,17.716036,7.963545,4.775766,0.000000,226.427172
48,226.427172,188.681601,18.114174,8.320896,4.949951,0.000000,231.270499
49,231.270499,194.495613,18.501640,8.669737,5.119467,0.000000,235.982934
50,235.982934,200.167656,18.878635,9.010059,5.284403,0.000000,240.567107
51,240.567107,205.698097,19.245369,9.341886,5.444849,0.000000,245.025741
52,245.025741,211.087781,19.602059,9.665267,5.600901,0.000000,249.361633
53,249.361633,216.337999,19.948931,9.980280,5.752657,0.000000,250.000000
54,250.000000,221.450447,20.000000,10.287027,5.775000,0.000000,250.000000
55,250.000000,226.427172,20.000000,10.585630,5.775000,0.000000,250.000000
56,250.000000,231.270499,20.000000,10.876230,5.775000,0.000000,250.000000
57,250.000000,235.982934,20.000000,11.158976,5.775000,0.000000,250.000000
58,250.000000,240.567107,20.000000,11.434026,5.775000,0.000000,250.000000
59,250.000000,245.025741,20.000000,11.701544,5.775000,0.000000,250.000000
60,250.000000,249.361633,20.000000,11.961698,5.775000,0.000000,250.000000
61,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
62,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
63,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
64,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
