run_id,growth_rate,balancing_strength,target,delay,threshold,threshold_correction,shock_size,minimum_state,maximum_state,final_state,maximum_overshoot,time_to_peak,threshold_active_periods
1,0.072168,0.033543,52.869639,16,82.621175,0.052444,-12.895972,12.000000,250.000000,250.000000,238.000000,53,133
2,0.097546,0.056288,42.525075,7,86.957167,0.063502,-4.467094,12.000000,250.000000,250.000000,238.000000,46,139
3,0.108280,0.047502,45.004247,14,94.710336,0.069515,-17.083457,12.000000,250.000000,250.000000,238.000000,33,140
4,0.113418,0.028175,53.094225,9,96.182946,0.025153,-5.082269,12.000000,250.000000,250.000000,238.000000,30,141
5,0.100640,0.056614,43.530407,2,99.068500,0.049469,-13.241273,12.000000,250.000000,250.000000,238.000000,44,138
6,0.078197,0.073618,41.243128,13,87.638008,0.085083,-9.976205,12.000000,169.971115,131.743936,157.971115,46,134
7,0.101892,0.058552,45.502717,7,86.207134,0.042709,-14.916965,12.000000,250.000000,250.000000,238.000000,37,140
8,0.097608,0.050145,64.647653,12,74.059799,0.041620,-5.803203,12.000000,250.000000,250.000000,238.000000,36,141
9,0.057952,0.026790,55.834866,7,85.961446,0.024710,-16.559956,12.000000,250.000000,250.000000,238.000000,64,126
10,0.071885,0.068348,56.447767,3,87.271794,0.034546,-10.963887,12.000000,220.609351,220.609351,208.609351,160,132
11,0.074344,0.074726,51.426654,5,98.484754,0.077521,-11.899906,12.000000,147.563931,147.331848,135.563931,58,131
12,0.088676,0.028983,45.881868,14,80.913530,0.055201,-10.294318,12.000000,250.000000,250.000000,238.000000,41,138
13,0.106917,0.025200,42.910499,8,89.277085,0.075520,-17.341465,12.000000,250.000000,250.000000,238.000000,35,141
14,0.075980,0.060808,52.816231,15,86.707579,0.037320,-7.506970,12.000000,250.000000,250.000000,238.000000,47,133
15,0.079444,0.046226,53.247468,4,99.097049,0.076355,-9.344438,12.000000,232.310676,232.310676,220.310676,160,133
16,0.077752,0.064721,54.278852,9,100.676394,0.092073,-5.686383,12.000000,176.058340,161.736030,164.058340,47,132
17,0.077979,0.028705,60.242587,2,88.001868,0.091853,-16.031330,12.000000,229.888391,229.888391,217.888391,160,134
18,0.110924,0.042796,47.355388,4,104.488405,0.088297,-5.017136,12.000000,250.000000,250.000000,238.000000,37,140
19,0.107694,0.081723,46.438536,3,70.414470,0.083368,-14.617049,12.000000,168.384033,168.384033,156.384033,160,143
20,0.059757,0.058469,51.235787,6,90.509508,0.070364,-10.638522,12.000000,135.633979,135.565453,123.633979,70,125
21,0.089103,0.064048,53.779032,14,90.450490,0.091871,-12.025480,12.000000,226.736137,172.162296,214.736137,49,137
22,0.061327,0.080978,45.536346,5,73.563516,0.070758,-11.691125,12.000000,99.155928,98.360624,87.155928,49,130
23,0.059183,0.046293,53.731769,10,82.547512,0.060575,-5.236828,12.000000,160.423690,157.022129,148.423690,68,127
24,0.075089,0.037918,55.329562,13,98.310333,0.040640,-7.003498,12.000000,250.000000,250.000000,238.000000,47,131
25,0.104687,0.041018,52.616785,3,99.977185,0.086817,-15.561464,12.000000,250.000000,250.000000,238.000000,41,139
26,0.105587,0.070325,44.356184,11,77.592719,0.046896,-10.151924,12.000000,250.000000,250.000000,238.000000,34,142
27,0.088791,0.068221,44.485486,10,71.602919,0.035095,-6.448484,12.000000,250.000000,250.000000,238.000000,44,140
28,0.086743,0.028719,40.294182,16,83.013381,0.028719,-15.858786,12.000000,250.000000,250.000000,238.000000,39,137
29,0.077374,0.056263,64.103066,12,89.160151,0.067027,-16.650587,12.000000,236.574033,208.199603,224.574033,59,134
30,0.096506,0.073459,52.470946,9,77.416571,0.027276,-16.319581,12.000000,250.000000,250.000000,238.000000,37,140
31,0.102583,0.073466,60.001743,5,103.878339,0.064664,-16.846917,12.000000,250.000000,250.000000,238.000000,42,138
32,0.112028,0.040936,58.614435,9,72.046929,0.071558,-17.515444,12.000000,250.000000,250.000000,238.000000,35,144
33,0.083302,0.027060,44.187607,12,83.085277,0.026541,-10.522973,12.000000,250.000000,250.000000,238.000000,41,136
34,0.113937,0.037463,56.055671,8,94.933631,0.029628,-13.034060,12.000000,250.000000,250.000000,238.000000,30,141
35,0.073522,0.029953,52.092802,14,70.191919,0.036352,-14.535063,12.000000,250.000000,250.000000,238.000000,50,136
36,0.109520,0.055464,43.327125,11,76.045379,0.065648,-13.445883,12.000000,250.000000,250.000000,238.000000,35,143
37,0.095350,0.036794,56.616088,5,97.312983,0.026730,-10.672273,12.000000,250.000000,250.000000,238.000000,37,138
38,0.065170,0.041713,59.554504,11,71.647645,0.048078,-17.115532,12.000000,240.775856,240.775856,228.775856,160,132
39,0.075881,0.082512,43.445166,8,70.921543,0.036029,-15.856716,12.000000,157.964015,143.627224,145.964015,51,136
40,0.076681,0.032168,45.449641,12,103.803048,0.084729,-13.500844,12.000000,250.000000,250.000000,238.000000,64,131
41,0.097322,0.025754,56.425297,2,91.577022,0.043710,-7.572194,12.000000,250.000000,250.000000,238.000000,38,139
42,0.062987,0.062781,61.953322,5,95.268891,0.042839,-12.554320,12.000000,186.911528,186.911528,174.911528,160,127
43,0.092120,0.047946,62.887898,11,94.014294,0.073119,-15.519782,12.000000,250.000000,250.000000,238.000000,41,137
44,0.062734,0.027220,47.397609,4,88.421448,0.048947,-8.098587,12.000000,250.000000,250.000000,238.000000,81,127
45,0.086125,0.084673,49.325057,4,73.687791,0.070183,-17.353024,12.000000,136.010869,136.010869,124.010869,160,139
