time,fast_cycle,slow_memory,release_event,phase,cross_scale_coupling
1,    0.500000,    1.000000,0,reorganization,    0.500000
2,    0.522710,    1.006000,0,reorganization,    0.525846
3,    0.547620,    1.011940,0,reorganization,    0.554159
4,    0.574914,    1.017821,0,reorganization,    0.585159
5,    0.604775,    1.023642,0,reorganization,    0.619074
6,    0.637390,    1.029406,0,reorganization,    0.656133
7,    0.672935,    1.035112,0,reorganization,    0.696563
8,    0.711580,    1.040761,0,reorganization,    0.740585
9,    0.753477,    1.046353,0,reorganization,    0.788403
10,    0.798755,    1.051890,0,reorganization,    0.840202
11,    0.847512,    1.057371,0,growth,    0.896135
12,    0.899809,    1.062797,0,growth,    0.956314
13,    0.955657,    1.068169,0,growth,    1.020804
14,    1.015017,    1.073487,0,growth,    1.089608
15,    1.077784,    1.078753,0,growth,    1.162662
16,    1.143787,    1.083965,0,growth,    1.239825
17,    1.212783,    1.089125,0,growth,    1.320872
18,    1.284454,    1.094234,0,growth,    1.405493
19,    1.358412,    1.099292,0,growth,    1.493291
20,    1.434201,    1.104299,0,growth,    1.583786
21,    1.511307,    1.109256,0,growth,    1.676426
22,    1.589169,    1.114163,0,growth,    1.770593
23,    1.667195,    1.119022,0,growth,    1.865628
24,    1.744782,    1.123831,0,growth,    1.960841
25,    1.821328,    1.128593,0,growth,    2.055538
26,    1.896257,    1.133307,0,growth,    2.149042
27,    1.969033,    1.137974,0,growth,    2.240709
28,    2.039177,    1.142594,0,conservation,    2.329952
29,    2.106276,    1.147168,0,conservation,    2.416254
30,    2.169996,    1.151697,0,conservation,    2.499178
31,    2.230082,    1.156180,0,conservation,    2.578376
32,    2.286359,    1.160618,0,conservation,    2.653590
33,    2.338731,    1.165012,0,conservation,    2.724649
34,    2.387171,    1.169362,0,conservation,    2.791467
35,    2.431719,    1.173668,0,conservation,    2.854031
36,    2.472465,    1.177931,0,conservation,    2.912394
37,    2.509546,    1.182152,0,conservation,    2.966665
38,    1.197886,    1.322152,1,release,    1.583787
39,    1.258401,    1.324931,0,growth,    1.667294
40,    1.321041,    1.327681,0,growth,    1.753922
41,    1.385500,    1.330404,0,growth,    1.843275
42,    1.451426,    1.333100,0,growth,    1.934896
43,    1.518426,    1.335769,0,growth,    2.028267
44,    1.586076,    1.338412,0,growth,    2.122823
45,    1.653929,    1.341028,0,growth,    2.217965
46,    1.721528,    1.343617,0,growth,    2.313075
47,    1.788417,    1.346181,0,growth,    2.407533
48,    1.854152,    1.348719,0,growth,    2.500731
49,    1.918318,    1.351232,0,growth,    2.592093
50,    1.980534,    1.353720,0,growth,    2.681088
51,    2.040462,    1.356183,0,conservation,    2.767239
52,    2.097819,    1.358621,0,conservation,    2.850140
53,    2.152374,    1.361035,0,conservation,    2.929456
54,    2.203955,    1.363424,0,conservation,    3.004926
55,    2.252446,    1.365790,0,conservation,    3.076368
56,    2.297783,    1.368132,0,conservation,    3.143671
57,    2.339953,    1.370451,0,conservation,    3.206791
58,    2.378987,    1.372746,0,conservation,    3.265745
59,    2.414952,    1.375019,0,conservation,    3.320604
60,    2.447947,    1.377269,0,conservation,    3.371481
61,    2.478097,    1.379496,0,conservation,    3.418525
62,    2.505545,    1.381701,0,conservation,    3.461913
63,    2.530444,    1.383884,0,conservation,    3.501841
64,    1.207783,    1.523884,1,release,    1.840521
65,    1.259543,    1.524645,0,growth,    1.920356
66,    1.313165,    1.525399,0,growth,    2.003100
67,    1.368434,    1.526145,0,growth,    2.088429
68,    1.425102,    1.526883,0,growth,    2.175965
69,    1.482889,    1.527614,0,growth,    2.265282
70,    1.541486,    1.528338,0,growth,    2.355912
71,    1.600564,    1.529055,0,growth,    2.447351
72,    1.659782,    1.529764,0,growth,    2.539075
73,    1.718788,    1.530467,0,growth,    2.630548
74,    1.777236,    1.531162,0,growth,    2.721236
75,    1.834787,    1.531850,0,growth,    2.810620
76,    1.891122,    1.532532,0,growth,    2.898204
77,    1.945944,    1.533207,0,growth,    2.983534
78,    1.998989,    1.533874,0,growth,    3.066198
79,    2.050028,    1.534536,0,conservation,    3.145841
80,    2.098871,    1.535190,0,conservation,    3.222166
81,    2.145366,    1.535838,0,conservation,    3.294936
82,    2.189405,    1.536480,0,conservation,    3.363977
83,    2.230915,    1.537115,0,conservation,    3.429174
84,    2.269864,    1.537744,0,conservation,    3.490471
85,    2.306252,    1.538367,0,conservation,    3.547861
86,    2.340107,    1.538983,0,conservation,    3.601386
87,    2.371487,    1.539593,0,conservation,    3.651125
88,    2.400466,    1.540197,0,conservation,    3.697192
89,    2.427141,    1.540795,0,conservation,    3.739728
90,    2.451618,    1.541387,0,conservation,    3.778893
91,    2.474013,    1.541973,0,conservation,    3.814863
92,    2.494450,    1.542554,0,conservation,    3.847823
93,    2.513053,    1.543128,0,conservation,    3.877963
94,    2.529949,    1.543697,0,conservation,    3.905474
95,    2.545262,    1.544260,0,conservation,    3.930546
96,    1.213994,    1.684260,1,release,    2.044682
97,    1.258723,    1.683417,0,growth,    2.118956
98,    1.305117,    1.682583,0,growth,    2.195967
99,    1.353024,    1.681757,0,growth,    2.275457
100,    1.402266,    1.680940,0,growth,    2.357125
101,    1.452641,    1.680130,0,growth,    2.440625
102,    1.503921,    1.679329,0,growth,    2.525578
103,    1.555862,    1.678536,0,growth,    2.611570
104,    1.608203,    1.677750,0,growth,    2.698163
105,    1.660673,    1.676973,0,growth,    2.784904
106,    1.712999,    1.676203,0,growth,    2.871334
107,    1.764904,    1.675441,0,growth,    2.956993
108,    1.816123,    1.674687,0,growth,    3.041438
109,    1.866401,    1.673940,0,growth,    3.124243
110,    1.915499,    1.673200,0,growth,    3.205014
111,    1.963203,    1.672468,0,growth,    3.283395
112,    2.009320,    1.671744,0,conservation,    3.359069
113,    2.053690,    1.671026,0,conservation,    3.431770
114,    2.096177,    1.670316,0,conservation,    3.501278
115,    2.136678,    1.669613,0,conservation,    3.567426
116,    2.175120,    1.668917,0,conservation,    3.630095
117,    2.211457,    1.668228,0,conservation,    3.689213
118,    2.245669,    1.667545,0,conservation,    3.744754
119,    2.277761,    1.666870,0,conservation,    3.796731
120,    2.307761,    1.666201,0,conservation,    3.845193
121,    2.335712,    1.665539,0,conservation,    3.890220
122,    2.361676,    1.664884,0,conservation,    3.931917
123,    2.385726,    1.664235,0,conservation,    3.970409
124,    2.407945,    1.663593,0,conservation,    4.005839
125,    2.428422,    1.662957,0,conservation,    4.038361
126,    2.447253,    1.662327,0,conservation,    4.068135
127,    2.464535,    1.661704,0,conservation,    4.095327
128,    2.480365,    1.661087,0,conservation,    4.120102
129,    2.494843,    1.660476,0,conservation,    4.142627
130,    2.508063,    1.659871,0,conservation,    4.163062
131,    2.520119,    1.659272,0,conservation,    4.181564
132,    2.531100,    1.658680,0,conservation,    4.198284
133,    2.541092,    1.658093,0,conservation,    4.213366
134,    2.550174,    1.657512,0,conservation,    4.226945
135,    1.213345,    1.797512,1,release,    2.181002
136,    1.252912,    1.795537,0,growth,    2.249651
137,    1.294021,    1.793582,0,growth,    2.320933
138,    1.336561,    1.791646,0,growth,    2.394644
139,    1.380400,    1.789729,0,growth,    2.470543
140,    1.425385,    1.787832,0,growth,    2.548348
141,    1.471342,    1.785954,0,growth,    2.627749
142,    1.518081,    1.784094,0,growth,    2.708400
143,    1.565397,    1.782253,0,growth,    2.789934
144,    1.613072,    1.780431,0,growth,    2.871963
145,    1.660881,    1.778626,0,growth,    2.954087
146,    1.708595,    1.776840,0,growth,    3.035900
147,    1.755986,    1.775072,0,growth,    3.117001
148,    1.802830,    1.773321,0,growth,    3.196996
149,    1.848913,    1.771588,0,growth,    3.275511
150,    1.894033,    1.769872,0,growth,    3.352196
151,    1.938007,    1.768173,0,growth,    3.426731
152,    1.980668,    1.766491,0,growth,    3.498832
153,    2.021872,    1.764826,0,conservation,    3.568253
154,    2.061498,    1.763178,0,conservation,    3.634789
155,    2.099449,    1.761546,0,conservation,    3.698277
156,    2.135650,    1.759931,0,conservation,    3.758597
157,    2.170051,    1.758332,0,conservation,    3.815670
158,    2.202623,    1.756748,0,conservation,    3.869455
159,    2.233357,    1.755181,0,conservation,    3.919945
160,    2.262262,    1.753629,0,conservation,    3.967169
