scenario,time,fast_cycle,slow_memory,release_event,phase,cross_scale_coupling,fast_growth,fast_capacity,slow_constraint,release_threshold,release_magnitude,revolt_strength,remember_strength,slow_adjustment,slow_target
baseline_panarchy,1,0.5,1.0,0,reorganization,0.5,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,2,0.52271,1.006,0,reorganization,0.525846,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,3,0.54762,1.01194,0,reorganization,0.554159,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,4,0.574914,1.017821,0,reorganization,0.585159,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,5,0.604775,1.023642,0,reorganization,0.619074,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,6,0.63739,1.029406,0,reorganization,0.656133,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,7,0.672935,1.035112,0,reorganization,0.696563,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,8,0.71158,1.040761,0,reorganization,0.740585,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,9,0.753477,1.046353,0,reorganization,0.788403,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,10,0.798755,1.05189,0,reorganization,0.840202,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,11,0.847512,1.057371,0,growth,0.896135,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,12,0.899809,1.062797,0,growth,0.956314,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,13,0.955657,1.068169,0,growth,1.020804,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,14,1.015017,1.073487,0,growth,1.089608,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,15,1.077784,1.078753,0,growth,1.162662,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,16,1.143787,1.083965,0,growth,1.239825,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,17,1.212783,1.089125,0,growth,1.320872,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,18,1.284454,1.094234,0,growth,1.405493,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,19,1.358412,1.099292,0,growth,1.493291,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,20,1.434201,1.104299,0,growth,1.583786,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,21,1.511307,1.109256,0,growth,1.676426,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,22,1.589169,1.114163,0,growth,1.770593,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,23,1.667195,1.119022,0,growth,1.865628,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,24,1.744782,1.123831,0,growth,1.960841,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,25,1.821328,1.128593,0,growth,2.055538,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,26,1.896257,1.133307,0,growth,2.149042,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,27,1.969033,1.137974,0,growth,2.240709,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,28,2.039177,1.142594,0,conservation,2.329952,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,29,2.106276,1.147168,0,conservation,2.416254,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,30,2.169996,1.151697,0,conservation,2.499178,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,31,2.230082,1.15618,0,conservation,2.578376,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,32,2.286359,1.160618,0,conservation,2.65359,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,33,2.338731,1.165012,0,conservation,2.724649,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,34,2.387171,1.169362,0,conservation,2.791467,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,35,2.431719,1.173668,0,conservation,2.854031,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,36,2.472465,1.177931,0,conservation,2.912394,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,37,2.509546,1.182152,0,conservation,2.966665,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,38,1.197886,1.322152,1,release,1.583787,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,39,1.258401,1.324931,0,growth,1.667294,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,40,1.321041,1.327681,0,growth,1.753922,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,41,1.3855,1.330404,0,growth,1.843275,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,42,1.451426,1.3331,0,growth,1.934896,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
