"scenario","time","state","capacity_buffer","stress_index","growth","policy_drag","shock_time","shock_size","resilience_investment"
"baseline",1,20,5,4,0.045,0,0,0,0
"baseline",2,20.9,5,4.18,0.045,0,0,0,0
"baseline",3,21.8405,5,4.3681,0.045,0,0,0,0
"baseline",4,22.8233225,5,4.5646645,0.045,0,0,0,0
"baseline",5,23.8503720125,5,4.7700744025,0.045,0,0,0,0
"baseline",6,24.9236387530625,5,4.9847277506125,0.045,0,0,0,0
"baseline",7,26.0452024969503,5,5.20904049939006,0.045,0,0,0,0
"baseline",8,27.2172366093131,5,5.44344732186261,0.045,0,0,0,0
"baseline",9,28.4420122567322,5,5.68840245134643,0.045,0,0,0,0
"baseline",10,29.7219028082851,5,5.94438056165702,0.045,0,0,0,0
"baseline",11,31.0593884346579,5,6.21187768693159,0.045,0,0,0,0
"baseline",12,32.4570609142175,5,6.49141218284351,0.045,0,0,0,0
"baseline",13,33.9176286553573,5,6.78352573107147,0.045,0,0,0,0
"baseline",14,35.4439219448484,5,7.08878438896968,0.045,0,0,0,0
"baseline",15,37.0388984323666,5,7.40777968647332,0.045,0,0,0,0
"baseline",16,38.7056488618231,5,7.74112977236462,0.045,0,0,0,0
"baseline",17,40.4474030606051,4.99552596939395,8.09672561176019,0.045,0,0,0,0
"baseline",18,42.2675361983324,4.97285060741063,8.49965935742059,0.045,0,0,0,0
"baseline",19,44.1695753272573,4.93115485413805,8.95724766992295,0.045,0,0,0,0
"baseline",20,46.1572062169839,4.86958279196821,9.47867778182448,0.045,0,0,0,0
"baseline",21,48.2342804967482,4.78723998700073,10.0755927481646,0.045,0,0,0,0
"baseline",22,50.4048231191018,4.68319175580971,10.7629210477176,0.045,0,0,0,0
"baseline",23,52.6730401594614,4.5564613542151,11.5600761346817,0.045,0,0,0,0
"baseline",24,55.0433269666372,4.40602808454873,12.4927317553117,0.045,0,0,0,0
"baseline",25,57.5202766801359,4.23082531774737,13.5955215259895,0.045,0,0,0,0
"baseline",26,60.108689130742,4.02973842643995,14.916275641207,0.045,0,0,0,0
"baseline",27,62.8135801416254,3.8016026250237,16.52292107759,0.045,0,0,0,0
"baseline",28,65.6401912479985,3.54520071254371,18.5152256727662,0.045,0,0,0,0
"baseline",29,68.5939998541584,3.25926071400213,21.04587692524,0.045,0,0,0,0
"baseline",30,71.6807298475956,2.94245341552617,24.3608716010131,0.045,0,0,0,0
"baseline",31,74.9063626907374,2.5933897886188,28.8835727739298,0.045,0,0,0,0
"baseline",32,78.2771490118206,2.21061829850059,35.4096177820088,0.045,0,0,0,0
"baseline",33,81.7996207173525,1.79262209132707,45.6312689178101,0.045,0,0,0,0
"baseline",34,85.4806036496333,1.33781605483073,63.8956329915242,0.045,0,0,0,0
"baseline",35,89.3272308138668,1,89.3272308138668,0.045,0,0,0,0
"baseline",36,93.3469562004908,1,93.3469562004908,0.045,0,0,0,0
"baseline",37,97.5475692295129,1,97.5475692295129,0.045,0,0,0,0
"baseline",38,101.937209844841,1,101.937209844841,0.045,0,0,0,0
"baseline",39,106.524384287859,1,106.524384287859,0.045,0,0,0,0
"baseline",40,111.317981580812,1,111.317981580812,0.045,0,0,0,0
"baseline",41,116.327290751949,1,116.327290751949,0.045,0,0,0,0
"baseline",42,121.562018835787,1,121.562018835787,0.045,0,0,0,0
"baseline",43,127.032309683397,1,127.032309683397,0.045,0,0,0,0
"baseline",44,132.74876361915,1,132.74876361915,0.045,0,0,0,0
"baseline",45,138.722457982012,1,138.722457982012,0.045,0,0,0,0
"baseline",46,144.964968591202,1,144.964968591202,0.045,0,0,0,0
"baseline",47,151.488392177806,1,151.488392177806,0.045,0,0,0,0
"baseline",48,158.305369825808,1,158.305369825808,0.045,0,0,0,0
"baseline",49,165.429111467969,1,165.429111467969,0.045,0,0,0,0
"baseline",50,172.873421484028,1,172.873421484028,0.045,0,0,0,0
"baseline",51,180.652725450809,1,180.652725450809,0.045,0,0,0,0
"baseline",52,188.782098096095,1,188.782098096095,0.045,0,0,0,0
"baseline",53,197.27729251042,1,197.27729251042,0.045,0,0,0,0
"baseline",54,206.154770673388,1,206.154770673388,0.045,0,0,0,0
"baseline",55,215.431735353691,1,215.431735353691,0.045,0,0,0,0
"baseline",56,225.126163444607,1,225.126163444607,0.045,0,0,0,0
"baseline",57,235.256840799614,1,235.256840799614,0.045,0,0,0,0
"baseline",58,245.843398635597,1,245.843398635597,0.045,0,0,0,0
"baseline",59,256.906351574199,1,256.906351574199,0.045,0,0,0,0
"baseline",60,268.467137395038,1,268.467137395038,0.045,0,0,0,0
"baseline",61,280.548158577815,1,280.548158577815,0.045,0,0,0,0
"baseline",62,293.172825713816,1,293.172825713816,0.045,0,0,0,0
"baseline",63,306.365602870938,1,306.365602870938,0.045,0,0,0,0
"baseline",64,320.15205500013,1,320.15205500013,0.045,0,0,0,0
"baseline",65,334.558897475136,1,334.558897475136,0.045,0,0,0,0
"baseline",66,349.614047861517,1,349.614047861517,0.045,0,0,0,0
"baseline",67,365.346680015285,1,365.346680015285,0.045,0,0,0,0
"baseline",68,381.787280615973,1,381.787280615973,0.045,0,0,0,0
"baseline",69,398.967708243692,1,398.967708243692,0.045,0,0,0,0
"baseline",70,416.921255114658,1,416.921255114658,0.045,0,0,0,0
"baseline",71,435.682711594818,1,435.682711594818,0.045,0,0,0,0
"baseline",72,455.288433616585,1,455.288433616585,0.045,0,0,0,0
"baseline",73,475.776413129331,1,475.776413129331,0.045,0,0,0,0
"baseline",74,497.186351720151,1,497.186351720151,0.045,0,0,0,0
"baseline",75,519.559737547558,1,519.559737547558,0.045,0,0,0,0
"baseline",76,542.939925737198,1,542.939925737198,0.045,0,0,0,0
"baseline",77,567.372222395372,1,567.372222395372,0.045,0,0,0,0
"baseline",78,592.903972403163,1,592.903972403163,0.045,0,0,0,0
"baseline",79,619.584651161306,1,619.584651161306,0.045,0,0,0,0
"baseline",80,647.465960463564,1,647.465960463564,0.045,0,0,0,0
"policy_intervention",1,20,5,4,0.045,0.02,0,0,0
"policy_intervention",2,20.5,5,4.1,0.045,0.02,0,0,0
"policy_intervention",3,21.0125,5,4.2025,0.045,0.02,0,0,0
"policy_intervention",4,21.5378125,5,4.3075625,0.045,0.02,0,0,0
"policy_intervention",5,22.0762578125,5,4.4152515625,0.045,0.02,0,0,0
"policy_intervention",6,22.6281642578125,5,4.5256328515625,0.045,0.02,0,0,0
"policy_intervention",7,23.1938683642578,5,4.63877367285156,0.045,0.02,0,0,0
"policy_intervention",8,23.7737150733643,5,4.75474301467285,0.045,0.02,0,0,0
"policy_intervention",9,24.3680579501984,5,4.87361159003967,0.045,0.02,0,0,0
