scenario_id,policy,growth,external_shock,shock_time,final_state,maximum_state,cumulative_cost,resilience_score
1,Policy_A_low_intervention,0.066372,6.946031,42,532.425000,532.425000,63903.896230,0.000000
1,Policy_B_moderate_intervention,0.066372,6.946031,42,225.652460,225.652460,10829.199584,0.000000
1,Policy_C_high_resilience,0.066372,6.946031,42,302.217652,302.217652,20365.084702,0.000000
2,Policy_A_low_intervention,0.037085,3.005484,45,98.283125,98.283125,1275.470285,0.000000
2,Policy_B_moderate_intervention,0.037085,3.005484,45,40.605040,40.605040,43.827011,46.569054
2,Policy_C_high_resilience,0.037085,3.005484,45,54.943333,54.943333,163.360642,6.890205
3,Policy_A_low_intervention,0.036215,11.903479,20,86.099073,86.099073,779.857246,0.000000
3,Policy_B_moderate_intervention,0.036215,11.903479,20,36.394780,36.394780,39.699514,52.025840
3,Policy_C_high_resilience,0.036215,11.903479,20,50.612635,50.612635,117.000621,20.925978
4,Policy_A_low_intervention,0.061480,11.622574,27,391.298765,391.298765,34244.497367,0.000000
4,Policy_B_moderate_intervention,0.061480,11.622574,27,166.249815,166.249815,5272.254546,0.000000
4,Policy_C_high_resilience,0.061480,11.622574,27,225.428430,225.428430,10769.676437,0.000000
5,Policy_A_low_intervention,0.065476,2.067923,28,507.508232,507.508232,58102.732428,0.000000
5,Policy_B_moderate_intervention,0.065476,2.067923,28,215.194309,215.194309,9725.262804,0.000000
5,Policy_C_high_resilience,0.065476,2.067923,28,287.600352,287.600352,18335.459617,0.000000
6,Policy_A_low_intervention,0.033496,8.057838,39,77.292521,77.292521,554.567970,0.000000
6,Policy_B_moderate_intervention,0.033496,8.057838,39,31.850650,31.850650,39.600000,57.044285
6,Policy_C_high_resilience,0.033496,8.057838,39,43.813937,43.813937,75.887927,36.627083
7,Policy_A_low_intervention,0.043128,8.884452,44,137.601194,137.601194,3318.307602,0.000000
7,Policy_B_moderate_intervention,0.043128,8.884452,44,57.079784,57.079784,167.285081,3.755222
7,Policy_C_high_resilience,0.043128,8.884452,44,77.786528,77.786528,616.244297,0.000000
8,Policy_A_low_intervention,0.045860,0.637608,32,165.188282,165.188282,5235.706634,0.000000
8,Policy_B_moderate_intervention,0.045860,0.637608,32,68.863082,68.863082,372.677001,0.000000
8,Policy_C_high_resilience,0.045860,0.637608,32,92.430177,92.430177,1086.368199,0.000000
9,Policy_A_low_intervention,0.038989,16.835156,27,100.280678,100.280678,1281.882305,0.000000
9,Policy_B_moderate_intervention,0.038989,16.835156,27,42.223673,42.223673,47.125663,44.128827
9,Policy_C_high_resilience,0.038989,16.835156,27,59.219036,59.219036,214.607421,0.000000
10,Policy_A_low_intervention,0.074908,17.608502,34,847.910297,847.910297,156260.838577,0.000000
10,Policy_B_moderate_intervention,0.074908,17.608502,34,362.709487,362.709487,29519.923492,0.000000
10,Policy_C_high_resilience,0.074908,17.608502,34,488.324147,488.324147,53826.293441,0.000000
11,Policy_A_low_intervention,0.057826,4.819527,26,323.990972,323.990972,23377.466786,0.000000
11,Policy_B_moderate_intervention,0.057826,4.819527,26,136.818206,136.818206,3254.590741,0.000000
