scenario_id,growth,external_shock,shock_time
1,0.058774,0.450194,28
2,0.04102,2.511683,23
3,0.060451,16.059232,22
4,0.056572,0.572088,22
5,0.039839,9.096395,20
6,0.055256,12.888353,42
7,0.054522,3.967931,38
8,0.042519,15.647406,44
9,0.066262,12.566509,30
10,0.042504,3.875648,44
11,0.045147,1.669425,23
12,0.046154,6.191203,28
13,0.066321,13.135172,37
14,0.035617,16.601317,22
15,0.054842,14.929284,39
16,0.069845,6.50943,26
17,0.061706,0.824839,27
18,0.064788,17.733987,27
19,0.068992,6.842272,34
20,0.058606,6.566979,31
21,0.045987,12.063153,42
22,0.072149,11.664637,39
23,0.058574,9.614518,27
24,0.037353,6.830198,40
25,0.060967,3.953073,30
26,0.067928,13.967998,27
27,0.066981,14.490824,32
28,0.042048,3.797691,38
29,0.069437,5.664202,40
30,0.052465,15.924297,40
31,0.050648,4.767843,27
32,0.063525,9.701591,43
33,0.056306,16.160812,32
34,0.04629,17.951864,24
35,0.052929,1.636369,21
36,0.06875,2.751144,25
37,0.065644,7.598879,22
38,0.047315,10.725992,34
39,0.05381,17.479411,20
40,0.060613,2.061931,37
41,0.06379,13.834777,30
42,0.03502,7.825775,34
43,0.030146,12.997657,43
44,0.041853,9.01055,25
45,0.052846,1.915395,40
46,0.04343,11.501091,39
47,0.038951,6.730449,25
48,0.054272,14.015277,36
49,0.071332,10.781003,35
50,0.030876,16.723775,45
51,0.043838,1.042653,38
52,0.072613,1.541762,35
53,0.066721,17.603721,37
54,0.064463,2.311046,35
55,0.072608,2.972285,36
56,0.069259,7.616483,26
57,0.071801,13.594774,42
58,0.039052,5.610893,41
59,0.059245,7.885802,36
60,0.050317,4.462301,22
61,0.045214,10.589557,27
62,0.05648,0.129435,42
63,0.0584,4.120952,21
64,0.068684,1.275432,27
65,0.042531,8.737461,37
66,0.035954,16.839256,38
67,0.05593,4.37395,35
68,0.066337,3.427378,23
69,0.059654,6.377356,33
70,0.051016,13.123365,41
71,0.059405,11.631236,21
72,0.048118,6.107447,23
73,0.04119,3.42376,34
74,0.036308,3.302785,34
75,0.041241,16.618781,34
76,0.066361,15.407404,23
77,0.032276,17.987084,20
78,0.073605,16.674606,27
79,0.037484,8.74154,26
80,0.068909,16.243972,25
81,0.047054,17.735559,28
82,0.071693,14.132328,29
83,0.049035,17.231718,45
84,0.05501,12.931349,24
85,0.038545,3.918616,21
86,0.056063,9.759514,43
87,0.044112,0.902562,35
88,0.052628,15.348958,25
89,0.03256,9.140913,25
90,0.033083,1.223296,27
91,0.04817,16.94873,38
92,0.04108,10.701345,39
93,0.033689,11.832717,38
94,0.053525,16.824713,26
95,0.060138,5.65531,28
96,0.04781,12.090424,29
97,0.050575,16.72233,22
98,0.030419,11.180867,38
99,0.074824,1.318693,26
100,0.052765,2.384218,31
101,0.069639,15.826864,31
102,0.042824,7.887322,37
103,0.061659,11.0102,45
104,0.059429,0.140816,37
105,0.043472,11.940997,24
106,0.041901,16.014829,43
107,0.054895,4.902268,39
108,0.039478,6.171845,41
109,0.058541,4.75171,35
110,0.0413,16.346863,21
111,0.034153,7.624364,28
112,0.031984,6.004018,24
113,0.05867,4.715195,43
114,0.049883,12.702014,37
115,0.030435,1.354389,42
116,0.070677,9.820625,31
117,0.056213,2.665688,24
118,0.031882,6.563727,45
119,0.073749,0.718108,31
120,0.039453,4.491535,23
121,0.045916,10.077903,33
122,0.073823,13.490597,27
123,0.068907,17.571709,45
124,0.037967,7.421299,25
125,0.063145,5.979338,33
126,0.066101,15.553153,45
127,0.041168,2.865561,42
128,0.034864,15.699002,35
129,0.04001,14.698559,34
130,0.045735,14.769655,27
131,0.040032,11.880597,32
132,0.044772,15.558353,44
133,0.042561,11.546671,32
134,0.060578,15.185901,30
135,0.072266,2.076152,28
136,0.038036,17.325618,28
137,0.031722,10.738283,31
138,0.062785,5.646192,39
139,0.074291,2.081624,38
140,0.038554,0.798958,33
141,0.030076,16.660353,37
142,0.060909,16.924736,43
143,0.060178,6.555986,22
144,0.072699,16.573875,39
145,0.044126,15.264275,43
146,0.070502,9.128205,41
147,0.048378,7.243207,29
148,0.054949,3.453122,41
149,0.072316,12.191723,25
150,0.057698,5.417098,37
151,0.067518,5.469749,26
152,0.049345,10.439726,40
153,0.044501,7.952148,41
154,0.039617,8.517351,45
155,0.063118,11.859313,29
