scenario_id,policy,growth,external_shock,shock_time,final_state,maximum_state,cumulative_cost,resilience_score
1,Policy_A_low_intervention,0.066386,4.338744,42,534.588654,534.588654,64429.078119,0.000000
1,Policy_B_moderate_intervention,0.066386,4.338744,42,226.603385,226.603385,10932.084074,0.000000
1,Policy_C_high_resilience,0.066386,4.338744,42,302.945636,302.945636,20469.659654,0.000000
2,Policy_A_low_intervention,0.042893,14.072447,39,132.485604,132.485604,2970.564670,0.000000
2,Policy_B_moderate_intervention,0.042893,14.072447,39,55.046111,55.046111,138.248367,11.799604
2,Policy_C_high_resilience,0.042893,14.072447,39,75.888721,75.888721,560.410625,0.000000
3,Policy_A_low_intervention,0.053826,6.034280,30,256.794717,256.794717,14271.003061,0.000000
3,Policy_B_moderate_intervention,0.053826,6.034280,30,108.019666,108.019666,1696.716723,0.000000
3,Policy_C_high_resilience,0.053826,6.034280,30,145.829247,145.829247,3868.941398,0.000000
4,Policy_A_low_intervention,0.036877,16.388924,20,86.370919,86.370919,772.168031,0.000000
4,Policy_B_moderate_intervention,0.036877,16.388924,20,36.861967,36.861967,39.806236,51.490589
4,Policy_C_high_resilience,0.036877,16.388924,20,51.926531,51.926531,127.832783,17.314259
5,Policy_A_low_intervention,0.035937,8.875439,45,89.694554,89.694554,956.474512,0.000000
5,Policy_B_moderate_intervention,0.035937,8.875439,45,36.919174,36.919174,39.837513,51.421406
5,Policy_C_high_resilience,0.035937,8.875439,45,50.707130,50.707130,119.680981,20.285961
6,Policy_A_low_intervention,0.050769,4.120382,20,214.844961,214.844961,9599.930113,0.000000
6,Policy_B_moderate_intervention,0.050769,4.120382,20,90.419617,90.419617,980.828505,0.000000
6,Policy_C_high_resilience,0.050769,4.120382,20,122.077636,122.077636,2428.772141,0.000000
7,Policy_A_low_intervention,0.058440,11.455211,38,333.591165,333.591165,24879.044189,0.000000
7,Policy_B_moderate_intervention,0.058440,11.455211,38,140.553541,140.553541,3497.138577,0.000000
7,Policy_C_high_resilience,0.058440,11.455211,38,190.081917,190.081917,7344.425043,0.000000
8,Policy_A_low_intervention,0.070777,1.941559,29,686.378535,686.378535,104659.754489,0.000000
8,Policy_B_moderate_intervention,0.070777,1.941559,29,292.229390,292.229390,18934.428426,0.000000
8,Policy_C_high_resilience,0.070777,1.941559,29,389.783775,389.783775,34374.410440,0.000000
9,Policy_A_low_intervention,0.043298,8.477115,20,134.891417,134.891417,3054.646114,0.000000
9,Policy_B_moderate_intervention,0.043298,8.477115,20,56.863344,56.863344,159.852956,5.479730
9,Policy_C_high_resilience,0.043298,8.477115,20,77.870668,77.870668,608.927775,0.000000
10,Policy_A_low_intervention,0.066600,12.302595,32,529.720782,529.720782,62910.773660,0.000000
10,Policy_B_moderate_intervention,0.066600,12.302595,32,225.221905,225.221905,10709.497031,0.000000
10,Policy_C_high_resilience,0.066600,12.302595,32,303.853392,303.853392,20534.366891,0.000000
11,Policy_A_low_intervention,0.056055,14.119596,22,278.520153,278.520153,16707.905701,0.000000
11,Policy_B_moderate_intervention,0.056055,14.119596,22,118.847719,118.847719,2185.471595,0.000000
11,Policy_C_high_resilience,0.056055,14.119596,22,162.971980,162.971980,5050.716444,0.000000
12,Policy_A_low_intervention,0.071523,10.361592,40,710.571662,710.571662,111830.520659,0.000000
12,Policy_B_moderate_intervention,0.071523,10.361592,40,302.495912,302.495912,20357.964174,0.000000
12,Policy_C_high_resilience,0.071523,10.361592,40,405.176105,405.176105,37165.132341,0.000000
13,Policy_A_low_intervention,0.072859,4.908881,29,767.355623,767.355623,129486.269870,0.000000
13,Policy_B_moderate_intervention,0.072859,4.908881,29,327.535168,327.535168,24001.039445,0.000000
13,Policy_C_high_resilience,0.072859,4.908881,29,437.767853,437.767853,43380.986707,0.000000
14,Policy_A_low_intervention,0.050403,6.427532,27,209.397528,209.397528,9049.620262,0.000000
14,Policy_B_moderate_intervention,0.050403,6.427532,27,87.992557,87.992557,894.307798,0.000000
14,Policy_C_high_resilience,0.050403,6.427532,27,119.188433,119.188433,2273.027946,0.000000
15,Policy_A_low_intervention,0.070780,13.390291,26,664.634825,664.634825,97556.157231,0.000000
15,Policy_B_moderate_intervention,0.070780,13.390291,26,284.629426,284.629426,17751.419181,0.000000
15,Policy_C_high_resilience,0.070780,13.390291,26,384.592566,384.592566,33318.498774,0.000000
16,Policy_A_low_intervention,0.059697,15.988402,27,347.354666,347.354666,26705.151116,0.000000
16,Policy_B_moderate_intervention,0.059697,15.988402,27,147.775551,147.775551,3913.804670,0.000000
16,Policy_C_high_resilience,0.059697,15.988402,27,201.927766,201.927766,8383.390874,0.000000
17,Policy_A_low_intervention,0.050740,5.453896,44,216.977432,216.977432,9913.886740,0.000000
17,Policy_B_moderate_intervention,0.050740,5.453896,44,90.717483,90.717483,1003.817547,0.000000
17,Policy_C_high_resilience,0.050740,5.453896,44,122.279759,122.279759,2453.170774,0.000000
18,Policy_A_low_intervention,0.069142,13.964033,33,612.007480,612.007480,83436.764032,0.000000
18,Policy_B_moderate_intervention,0.069142,13.964033,33,260.658939,260.658939,14756.797029,0.000000
18,Policy_C_high_resilience,0.069142,13.964033,33,351.459768,351.459768,27771.994286,0.000000
19,Policy_A_low_intervention,0.053477,17.591218,27,239.123842,239.123842,11996.797578,0.000000
19,Policy_B_moderate_intervention,0.053477,17.591218,27,101.471829,101.471829,1376.923204,0.000000
19,Policy_C_high_resilience,0.053477,17.591218,27,139.889735,139.889735,3447.298223,0.000000
20,Policy_A_low_intervention,0.042659,10.152069,23,129.213211,129.213211,2716.475881,0.000000
20,Policy_B_moderate_intervention,0.042659,10.152069,23,54.399293,54.399293,130.031504,14.154477
20,Policy_C_high_resilience,0.042659,10.152069,23,74.778369,74.778369,526.849543,0.000000
21,Policy_A_low_intervention,0.072108,4.859773,36,738.118277,738.118277,120332.566393,0.000000
21,Policy_B_moderate_intervention,0.072108,4.859773,36,314.510263,314.510263,22086.583105,0.000000
21,Policy_C_high_resilience,0.072108,4.859773,36,419.985991,419.985991,39948.347957,0.000000
22,Policy_A_low_intervention,0.038178,9.987646,28,99.881260,99.881260,1296.075694,0.000000
22,Policy_B_moderate_intervention,0.038178,9.987646,28,41.701569,41.701569,46.041685,44.919937
22,Policy_C_high_resilience,0.038178,9.987646,28,57.464554,57.464554,192.399859,0.000000
23,Policy_A_low_intervention,0.062607,0.137558,25,433.307895,433.307895,42508.046517,0.000000
23,Policy_B_moderate_intervention,0.062607,0.137558,25,183.160851,183.160851,6726.774196,0.000000
23,Policy_C_high_resilience,0.062607,0.137558,25,244.443865,244.443865,12942.590909,0.000000
24,Policy_A_low_intervention,0.053274,11.317152,45,248.711919,248.711919,13430.618476,0.000000
24,Policy_B_moderate_intervention,0.053274,11.317152,45,104.093628,104.093628,1543.082302,0.000000
24,Policy_C_high_resilience,0.053274,11.317152,45,141.003976,141.003976,3572.143261,0.000000
25,Policy_A_low_intervention,0.055627,16.792237,20,265.824832,265.824832,14991.721310,0.000000
25,Policy_B_moderate_intervention,0.055627,16.792237,20,114.198692,114.198692,1937.912941,0.000000
25,Policy_C_high_resilience,0.055627,16.792237,20,157.719943,157.719943,4644.736678,0.000000
26,Policy_A_low_intervention,0.035233,2.124812,35,88.212873,88.212873,892.138979,0.000000
26,Policy_B_moderate_intervention,0.035233,2.124812,35,36.448450,36.448450,39.716888,51.963327
26,Policy_C_high_resilience,0.035233,2.124812,35,49.283187,49.283187,107.842356,24.220023
27,Policy_A_low_intervention,0.036143,15.845080,34,86.333479,86.333479,801.571785,0.000000
