scenario_id,policy,policy_drag,resilience_buffer,implementation_delay,growth,external_shock,shock_time,final_state,maximum_state,minimum_state,cumulative_cost,resilience_score,regret
1,Policy_A_low_intervention,0.01,4.0,0,0.058774,0.450194,28,347.780482,347.780482,20.0,27207.033391,0.0,0.0
1,Policy_B_moderate_intervention,0.025,7.0,0,0.058774,0.450194,28,146.56159,146.56159,20.0,3907.554018,0.0,0.0
1,Policy_C_high_resilience,0.02,12.0,0,0.058774,0.450194,28,195.892828,195.892828,20.0,7887.047564,0.0,0.0
1,Policy_D_delayed_adaptation,0.015,6.0,8,0.058774,0.450194,28,288.640098,288.640098,20.0,19131.179646,0.0,0.0
2,Policy_A_low_intervention,0.01,4.0,0,0.04102,2.511683,23,123.098405,123.098405,20.0,2435.81225,0.0,23.388574
2,Policy_B_moderate_intervention,0.025,7.0,0,0.04102,2.511683,23,51.254147,51.254147,20.0,101.15932,23.388574,0.0
2,Policy_C_high_resilience,0.02,12.0,0,0.04102,2.511683,23,69.224914,69.224914,20.0,402.200186,0.0,23.388574
2,Policy_D_delayed_adaptation,0.015,6.0,8,0.04102,2.511683,23,102.313584,102.313584,20.0,1530.121756,0.0,23.388574
3,Policy_A_low_intervention,0.01,4.0,0,0.060451,16.059232,22,357.286266,357.286266,20.0,28139.914869,0.0,0.0
3,Policy_B_moderate_intervention,0.025,7.0,0,0.060451,16.059232,22,153.118139,153.118139,20.0,4257.909437,0.0,0.0
3,Policy_C_high_resilience,0.02,12.0,0,0.060451,16.059232,22,209.904249,209.904249,20.0,9131.837519,0.0,0.0
3,Policy_D_delayed_adaptation,0.015,6.0,8,0.060451,16.059232,22,303.613813,303.613813,20.0,20936.666476,0.0,0.0
4,Policy_A_low_intervention,0.01,4.0,0,0.056572,0.572088,22,306.223399,306.223399,20.0,20879.843121,0.0,0.0
4,Policy_B_moderate_intervention,0.025,7.0,0,0.056572,0.572088,22,128.857676,128.857676,20.0,2795.154729,0.0,0.0
4,Policy_C_high_resilience,0.02,12.0,0,0.056572,0.572088,22,172.398118,172.398118,20.0,5848.384279,0.0,0.0
4,Policy_D_delayed_adaptation,0.015,6.0,8,0.056572,0.572088,22,254.152973,254.152973,20.0,14590.639884,0.0,0.0
5,Policy_A_low_intervention,0.01,4.0,0,0.039839,9.096395,20,109.358186,109.358186,20.0,1695.05507,0.0,36.789451
5,Policy_B_moderate_intervention,0.025,7.0,0,0.039839,9.096395,20,46.058325,46.058325,20.0,62.731956,36.789451,0.0
5,Policy_C_high_resilience,0.02,12.0,0,0.039839,9.096395,20,63.337709,63.337709,20.0,282.742061,0.0,36.789451
5,Policy_D_delayed_adaptation,0.015,6.0,8,0.039839,9.096395,20,92.456397,92.456397,20.0,1096.526186,0.0,36.789451
6,Policy_A_low_intervention,0.01,4.0,0,0.055256,12.888353,42,277.554851,277.554851,20.0,16958.539777,0.0,0.0
6,Policy_B_moderate_intervention,0.025,7.0,0,0.055256,12.888353,42,116.453824,116.453824,20.0,2121.400093,0.0,0.0
6,Policy_C_high_resilience,0.02,12.0,0,0.055256,12.888353,42,157.913629,157.913629,20.0,4731.946262,0.0,0.0
6,Policy_D_delayed_adaptation,0.015,6.0,8,0.055256,12.888353,42,231.659351,231.659351,20.0,11933.557211,0.0,0.0
7,Policy_A_low_intervention,0.01,4.0,0,0.054522,3.967931,38,270.370861,270.370861,20.0,16024.147535,0.0,0.0
7,Policy_B_moderate_intervention,0.025,7.0,0,0.054522,3.967931,38,113.522923,113.522923,20.0,1970.378031,0.0,0.0
7,Policy_C_high_resilience,0.02,12.0,0,0.054522,3.967931,38,152.560286,152.560286,20.0,4343.233547,0.0,0.0
7,Policy_D_delayed_adaptation,0.015,6.0,8,0.054522,3.967931,38,224.711713,224.711713,20.0,11150.447534,0.0,0.0
8,Policy_A_low_intervention,0.01,4.0,0,0.042519,15.647406,44,129.900182,129.900182,20.0,2859.406214,0.0,15.552681
8,Policy_B_moderate_intervention,0.025,7.0,0,0.042519,15.647406,44,53.74706,53.74706,20.0,126.627766,15.552681,0.0
8,Policy_C_high_resilience,0.02,12.0,0,0.042519,15.647406,44,74.223523,74.223523,20.0,522.945294,0.0,15.552681
8,Policy_D_delayed_adaptation,0.015,6.0,8,0.042519,15.647406,44,108.81529,108.81529,20.0,1857.466279,0.0,15.552681
9,Policy_A_low_intervention,0.01,4.0,0,0.066262,12.566509,30,517.506047,517.506047,20.0,60004.304848,0.0,0.0
9,Policy_B_moderate_intervention,0.025,7.0,0,0.066262,12.566509,30,220.232127,220.232127,20.0,10170.868167,0.0,0.0
9,Policy_C_high_resilience,0.02,12.0,0,0.066262,12.566509,30,297.548866,297.548866,20.0,19635.762835,0.0,0.0
